2024-06-05 15:57:30 | INFO | controller | args: Namespace(host='0.0.0.0', port=10050, dispatch_method='shortest_queue')
2024-06-05 15:57:30 | INFO | controller | Init controller
2024-06-05 15:57:30 | ERROR | stderr | INFO:     Started server process [125881]
2024-06-05 15:57:30 | ERROR | stderr | INFO:     Waiting for application startup.
2024-06-05 15:57:30 | ERROR | stderr | INFO:     Application startup complete.
2024-06-05 15:57:30 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:10050 (Press CTRL+C to quit)
2024-06-05 15:58:24 | INFO | stdout | INFO:     10.140.24.63:52085 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-06-05 15:58:24 | INFO | stdout | INFO:     10.140.24.63:52087 - "POST /list_models HTTP/1.1" 200 OK
2024-06-05 16:00:06 | INFO | stdout | INFO:     10.140.24.63:52151 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-06-05 16:00:06 | INFO | stdout | INFO:     10.140.24.63:52153 - "POST /list_models HTTP/1.1" 200 OK
2024-06-05 16:08:32 | INFO | stdout | INFO:     10.140.24.63:52721 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-06-05 16:08:32 | INFO | stdout | INFO:     10.140.24.63:52723 - "POST /list_models HTTP/1.1" 200 OK
2024-06-05 16:10:34 | INFO | stdout | INFO:     10.140.24.63:52789 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-06-05 16:10:34 | INFO | stdout | INFO:     10.140.24.63:52791 - "POST /list_models HTTP/1.1" 200 OK
2024-06-05 16:12:53 | INFO | controller | Register a new worker: http://10.140.24.109:10052
2024-06-05 16:12:53 | INFO | controller | Register done: http://10.140.24.109:10052, {'model_names': ['6.5'], 'speed': 1, 'queue_length': 0}
2024-06-05 16:12:53 | INFO | stdout | INFO:     10.140.24.109:61942 - "POST /register_worker HTTP/1.1" 200 OK
2024-06-05 16:13:08 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:13:08 | INFO | stdout | INFO:     10.140.24.109:61954 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:13:23 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:13:23 | INFO | stdout | INFO:     10.140.24.109:61960 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:13:38 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:13:38 | INFO | stdout | INFO:     10.140.24.109:61968 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:13:53 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:13:53 | INFO | stdout | INFO:     10.140.24.109:61974 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:14:08 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:14:08 | INFO | stdout | INFO:     10.140.24.109:61986 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:14:23 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:14:23 | INFO | stdout | INFO:     10.140.24.109:61992 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:14:38 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:14:38 | INFO | stdout | INFO:     10.140.24.109:62000 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:14:50 | INFO | controller | Register a new worker: http://10.140.24.109:10052
2024-06-05 16:14:50 | INFO | controller | Register done: http://10.140.24.109:10052, {'model_names': ['6.5'], 'speed': 1, 'queue_length': 0}
2024-06-05 16:14:50 | INFO | stdout | INFO:     10.140.24.63:52903 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2024-06-05 16:14:50 | INFO | stdout | INFO:     10.140.24.63:52907 - "POST /list_models HTTP/1.1" 200 OK
2024-06-05 16:14:53 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:14:53 | INFO | stdout | INFO:     10.140.24.109:62006 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:15:08 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:15:08 | INFO | stdout | INFO:     10.140.24.109:62018 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:15:23 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:15:23 | INFO | stdout | INFO:     10.140.24.109:62024 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:15:38 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:15:38 | INFO | stdout | INFO:     10.140.24.109:62032 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:15:54 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:15:54 | INFO | stdout | INFO:     10.140.24.109:62038 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:16:09 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:16:09 | INFO | stdout | INFO:     10.140.24.109:62050 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:16:24 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:16:24 | INFO | stdout | INFO:     10.140.24.109:62056 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:16:39 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:16:39 | INFO | stdout | INFO:     10.140.24.109:62064 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:16:54 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:16:54 | INFO | stdout | INFO:     10.140.24.109:62070 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:17:09 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:17:09 | INFO | stdout | INFO:     10.140.24.109:62082 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:17:24 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:17:24 | INFO | stdout | INFO:     10.140.24.109:62088 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:17:39 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:17:39 | INFO | stdout | INFO:     10.140.24.109:62096 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:17:54 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:17:54 | INFO | stdout | INFO:     10.140.24.109:62102 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:18:09 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:18:09 | INFO | stdout | INFO:     10.140.24.109:62114 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:18:24 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:18:24 | INFO | stdout | INFO:     10.140.24.109:62120 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:18:39 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:18:39 | INFO | stdout | INFO:     10.140.24.109:62128 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:18:54 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:18:54 | INFO | stdout | INFO:     10.140.24.109:62134 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:19:09 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:19:09 | INFO | stdout | INFO:     10.140.24.109:62146 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:19:24 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:19:24 | INFO | stdout | INFO:     10.140.24.109:62152 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:19:39 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:19:39 | INFO | stdout | INFO:     10.140.24.109:62160 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:19:54 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:19:54 | INFO | stdout | INFO:     10.140.24.109:62166 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:20:09 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:20:09 | INFO | stdout | INFO:     10.140.24.109:62178 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:20:24 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:20:24 | INFO | stdout | INFO:     10.140.24.109:62184 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:20:39 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:20:39 | INFO | stdout | INFO:     10.140.24.109:62192 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:20:54 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:20:54 | INFO | stdout | INFO:     10.140.24.109:62198 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:21:09 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:21:09 | INFO | stdout | INFO:     10.140.24.109:62210 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:21:24 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:21:24 | INFO | stdout | INFO:     10.140.24.109:62216 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:21:39 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:21:39 | INFO | stdout | INFO:     10.140.24.109:62224 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:21:54 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:21:54 | INFO | stdout | INFO:     10.140.24.109:62230 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:22:09 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:22:10 | INFO | stdout | INFO:     10.140.24.109:62242 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:22:25 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:22:25 | INFO | stdout | INFO:     10.140.24.109:62248 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:22:40 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:22:40 | INFO | stdout | INFO:     10.140.24.109:62280 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:22:55 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:22:55 | INFO | stdout | INFO:     10.140.24.109:62286 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:23:10 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:23:10 | INFO | stdout | INFO:     10.140.24.109:62298 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:23:25 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:23:25 | INFO | stdout | INFO:     10.140.24.109:62304 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:23:40 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:23:40 | INFO | stdout | INFO:     10.140.24.109:62312 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:23:55 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:23:55 | INFO | stdout | INFO:     10.140.24.109:62318 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:24:10 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:24:10 | INFO | stdout | INFO:     10.140.24.109:62330 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:24:25 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
2024-06-05 16:24:25 | INFO | stdout | INFO:     10.140.24.109:62336 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-06-05 16:24:40 | INFO | controller | Receive heart beat. http://10.140.24.109:10052
