which: no fi_info in (/mnt/petrelfs/zhangdi1/.vscode-server/bin/8b3775030ed1a69b13e4f4c628c612102e30a681/bin/remote-cli:/mnt/petrelfs/zhangdi1/miniforge3/envs/internvl/bin:/mnt/petrelfs/zhangdi1/miniforge3/condabin:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/mnt/petrelfs/zhangdi1/.local/bin:/mnt/petrelfs/zhangdi1/bin:/mnt/petrelfs/zhangdi1/.local/bin:/mnt/petrelfs/zhangdi1/bin)
2024-07-09 10:59:57 | INFO | controller | args: Namespace(host='0.0.0.0', port=10050, dispatch_method='shortest_queue')
2024-07-09 10:59:57 | INFO | controller | Init controller
2024-07-09 10:59:57 | ERROR | stderr | INFO:     Started server process [19057]
2024-07-09 10:59:57 | ERROR | stderr | INFO:     Waiting for application startup.
2024-07-09 10:59:57 | ERROR | stderr | INFO:     Application startup complete.
2024-07-09 10:59:57 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:10050 (Press CTRL+C to quit)
2024-07-09 11:05:07 | INFO | controller | Register a new worker: http://10.140.24.69:10062
2024-07-09 11:05:07 | INFO | controller | Register done: http://10.140.24.69:10062, {'model_names': ['chemvlm_2B'], 'speed': 1, 'queue_length': 0}
2024-07-09 11:05:07 | INFO | stdout | INFO:     10.140.24.69:26463 - "POST /register_worker HTTP/1.1" 200 OK
2024-07-09 11:05:22 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:05:22 | INFO | stdout | INFO:     10.140.24.69:26537 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:05:37 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:05:37 | INFO | stdout | INFO:     10.140.24.69:26615 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:05:53 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:05:53 | INFO | stdout | INFO:     10.140.24.69:26707 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:06:08 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:06:08 | INFO | stdout | INFO:     10.140.24.69:26787 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:06:23 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:06:23 | INFO | stdout | INFO:     10.140.24.69:26883 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:06:38 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:06:38 | INFO | stdout | INFO:     10.140.24.69:26969 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:06:53 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:06:53 | INFO | stdout | INFO:     10.140.24.69:27049 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:07:08 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:07:08 | INFO | stdout | INFO:     10.140.24.69:27111 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:07:23 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:07:23 | INFO | stdout | INFO:     10.140.24.69:27179 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:07:38 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:07:38 | INFO | stdout | INFO:     10.140.24.69:27233 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:07:53 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:07:53 | INFO | stdout | INFO:     10.140.24.69:27319 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:08:08 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:08:08 | INFO | stdout | INFO:     10.140.24.69:27409 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:08:23 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:08:23 | INFO | stdout | INFO:     10.140.24.69:27511 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:08:38 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:08:38 | INFO | stdout | INFO:     10.140.24.69:27587 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:08:53 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:08:53 | INFO | stdout | INFO:     10.140.24.69:27663 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:09:08 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:09:08 | INFO | stdout | INFO:     10.140.24.69:27729 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:09:23 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:09:23 | INFO | stdout | INFO:     10.140.24.69:27793 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:09:38 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:09:38 | INFO | stdout | INFO:     10.140.24.69:27851 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:09:53 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
2024-07-09 11:09:53 | INFO | stdout | INFO:     10.140.24.69:27927 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-07-09 11:10:08 | INFO | controller | Receive heart beat. http://10.140.24.69:10062
